plotID,ExposedRock,InundatedRock,ExposedSand,InundatedSand,ExposedCobble,InundatedCobble,ExposedBlackMat,InundatedBlackMat,ExposedOrangeMat,InundatedOrangeMat,ExposedMoss,InundatedMoss,InundatedOrangePinkMat,ExposedBlackRed,InundatedBlackRed,ExposedBlackOrangeRed,InundatedBlackOrangeRed,DryBlackOrangeMat,InundatedBlackOrangeMat,ExposedSandyOrange,InundatedSandyOrange
Crescent-1-20181214,0.211111111,0.028282828,0.043434343,0.052525253,0.256565657,0.102020202,0.174747475,0.052525253,0.01010101,0.015151515,0.005050505,0.002020202,0,0.006060606,0.004040404,0.001010101,0.007070707,0,0.015151515,0,0.013131313
Canada-1-20181212,0.230392157,0.039215686,0.071568627,0.035294118,0.176470588,0.107843137,0.079411765,0.076470588,0.019607843,0.012745098,0.019607843,0.001960784,0.058823529,0.024509804,0.016666667,0,0.006862745,0,0.007843137,0,0.014705882
Canada-2-20181212,0.194,0.017,0.111,0.031,0.296,0.052,0.177,0.045,0.025,0.008,0.011,0,0,0.01,0,0,0,0.005,0.003,0,0.015
Canada-3-20181212,0.145,0.022,0.046,0.045,0.195,0.101,0.136,0.043,0.005,0.028,0.189,0,0,0.005,0.015,0,0,0,0.01,0,0.015
Relict-1-20181218,0.163869694,0.015794669,0.05923001,0.031589339,0.241855874,0.097729516,0.081934847,0.075024679,0.004935834,0.049358342,0.103652517,0,0,0.034550839,0.009871668,0,0.007897335,0,0,0.019743337,0.0029615
Relict-3-20181218,0.126745435,0.007518797,0.040816327,0.063372718,0.163265306,0.049409237,0.223415682,0.088077336,0.032223416,0.019334049,0.095596133,0,0,0,0.01396348,0.005370569,0,0,0.069817401,0.001074114,0
Lost Seal-1-20181208,0.166666667,0.020958084,0.097804391,0.050898204,0.29241517,0.070858283,0.04491018,0.045908184,0.000998004,0.053892216,0.134730539,0,0,0.005988024,0,0,0,0,0.011976048,0,0.001996008
Crescent-1-20181220,0.173267327,0.063366337,0.086138614,0.037623762,0.222772277,0.081188119,0.086138614,0.046534653,0,0.052475248,0.094059406,0.002970297,0.005940594,0.022772277,0.00990099,0,0,0,0.007920792,0,0.006930693
Bowles-1-20181222,0.154,0.026,0.087,0.039,0.189,0.079,0.113,0.021,0,0.019,0.142,0.01,0,0.01,0.015,0,0.015,0,0.059,0,0.022
Relict-1-20190102,0.143283582,0.029850746,0.090547264,0.03681592,0.23880597,0.107462687,0.148258706,0.073631841,0,0.028855721,0.029850746,0,0,0,0.016915423,0.049751244,0,0,0.00199005,0,0.0039801
Relict-3-20190102,0.152525253,0.024242424,0.108080808,0.046464646,0.161616162,0.116161616,0.091919192,0.085858586,0.015151515,0.044444444,0.084848485,0,0.007070707,0.005050505,0.005050505,0.002020202,0,0,0.043434343,0,0.006060606
Bowles-1-20190104,0.184615385,0.020879121,0.136263736,0.031868132,0.267032967,0.049450549,0.092307692,0.065934066,0.003296703,0.038461538,0.027472527,0,0,0.027472527,0,0,0,0.037362637,0,0.013186813,0.004395604
Crescent-1-20190105,0.171232877,0.026255708,0.116438356,0.042237443,0.238584475,0.130136986,0.094748858,0.030821918,0.026255708,0.003424658,0.01369863,0,0.003424658,0.017123288,0.039954338,0.003424658,0.002283105,0.017123288,0,0.011415525,0.011415525
McKnight-1-20190107,0.261111111,0.027777778,0.063333333,0.017777778,0.151111111,0.056666667,0.147777778,0.013333333,0.016666667,0.057777778,0.027777778,0,0,0.025555556,0.005555556,0,0.02,0.05,0.057777778,0,0
Canada-1-20190109,0.300341297,0.028441411,0.117178612,0.007963595,0.229806598,0.018202503,0.09556314,0.043230944,0.005688282,0.04778157,0.02844141,0,0.011376564,0.017064846,0.011376564,0,0.004550626,0,0.017064846,0.011376564,0.004550626
Canada-3-20190109,0.204918033,0.035128806,0.043325527,0.049180328,0.18852459,0.067915691,0.200234192,0.06206089,0.011709602,0.029274005,0,0,0,0.011709602,0.005854801,0,0.049180328,0.017564403,0.004683841,0.008196721,0.010538642
Relict-3-20190111,0.136476427,0.040942928,0.076923077,0.060794045,0.17369727,0.060794045,0.157568238,0.09057072,0,0.045905707,0.045905707,0,0,0.016129032,0.023573201,0.006203474,0.018610422,0,0.042183623,0,0.003722084
Relict-1-20190111,0.37,0.047777778,0.062222222,0.013333333,0.112222222,0.017777778,0.11,0.092222222,0,0.01,0.027777778,0,0.066666667,0.018888889,0.003333333,0,0.016666667,0.008888889,0.005555556,0.005555556,0.011111111
McKnight-2-20190112,0.207650273,0.016393443,0.053551913,0.040437158,0.172677596,0.063387978,0.21420765,0.096174863,0,0.010928962,0,0,0.076502732,0.003278689,0.012021858,0.005464481,0,0,0.010928962,0,0.016393443
Bowles-1-20190115,0.155555556,0.05,0.05,0.043333333,0.23,0.094444444,0.09,0.052222222,0.027777778,0.036666667,0.072222222,0,0,0.002222222,0.022222222,0,0.003333333,0,0.05,0.003333333,0.016666667
Crescent-2-20190116,0.223333333,0.05,0.054444444,0.023333333,0.211111111,0.041111111,0.138888889,0.081111111,0.016666667,0.01,0,0,0.067777778,0.011111111,0.012222222,0,0,0,0.024444444,0.008888889,0.025555556
